stn,time,fkl010z0,fkl010z1,dkl010z0,dkl010z1,fkl010z3
13,201906150000,1.2,2.7,14,10000000,2.5
13,201906150010,1.0,2.1,46,10000000,2.0
13,201906150020,1.2,3.1,43,10000000,3.0
13,201906150030,1.1,2.0,43,10000000,2.0
13,201906150040,1.3,5.1,305,10000000,5.0
13,201906150050,3.8,9.0,233,10000000,8.7
13,201906150100,3.9,9.1,241,10000000,8.8
13,201906150110,3.3,7.6,237,10000000,7.4
13,201906150120,3.1,6.2,245,10000000,6.1
13,201906150130,3.2,7.3,219,10000000,6.5
13,201906150140,4.1,7.7,223,10000000,7.3
13,201906150150,3.2,7.0,202,10000000,6.6
13,201906150200,4.1,7.8,198,10000000,7.6
13,201906150210,3.6,6.9,193,10000000,6.2
13,201906150220,4.8,10.5,215,10000000,9.4
13,201906150230,3.9,7.8,216,10000000,7.5
13,201906150240,4.4,8.2,195,10000000,7.8
13,201906150250,4.0,6.9,233,10000000,6.7
13,201906150300,3.6,8.0,231,10000000,7.8
13,201906150310,3.7,6.4,227,10000000,6.3
13,201906150320,4.4,7.8,196,10000000,7.6
13,201906150330,3.9,6.5,171,10000000,6.2
13,201906150340,3.3,5.6,174,10000000,5.4
13,201906150350,1.7,3.4,165,10000000,3.4
13,201906150400,1.0,1.8,335,10000000,1.8
13,201906150410,1.6,2.6,356,10000000,2.5
13,201906150420,2.1,2.6,355,10000000,2.6
13,201906150430,1.3,2.1,12,10000000,2.0
13,201906150440,0.7,1.3,7,10000000,1.3
13,201906150450,0.7,1.2,352,10000000,1.2
13,201906150500,0.4,0.9,360,10000000,0.9
13,201906150510,0.3,0.7,6,10000000,0.7
13,201906150520,0.3,1.5,326,10000000,1.5
13,201906150530,0.9,1.5,352,10000000,1.4
13,201906150540,0.5,1.5,337,10000000,1.5
13,201906150550,0.5,1.3,8,10000000,1.2
13,201906150600,0.3,0.7,20,10000000,0.7
13,201906150610,0.0,0.1,0,10000000,0.1
13,201906150620,0.0,0.2,0,10000000,0.1
13,201906150630,0.6,1.2,269,10000000,1.1
13,201906150640,0.8,1.6,270,10000000,1.6
13,201906150650,1.3,3.2,195,10000000,3.1
13,201906150700,3.1,4.9,190,10000000,4.6
13,201906150710,3.3,5.6,192,10000000,5.4
13,201906150720,2.8,5.3,189,10000000,5.2
13,201906150730,2.9,4.7,186,10000000,4.6
13,201906150740,2.5,4.4,169,10000000,4.3
13,201906150750,1.3,2.4,191,10000000,2.3
13,201906150800,1.0,2.7,203,10000000,2.6
13,201906150810,0.7,1.5,286,10000000,1.5
13,201906150820,0.7,1.5,352,10000000,1.5
13,201906150830,0.7,1.6,273,10000000,1.5
13,201906150840,0.2,1.0,342,10000000,1.0
13,201906150850,0.4,0.7,349,10000000,0.7
13,201906150900,0.6,1.8,14,10000000,1.7
13,201906150910,1.0,2.8,257,10000000,2.7
13,201906150920,1.0,2.5,62,10000000,2.4
13,201906150930,1.6,2.8,169,10000000,2.7
13,201906150940,1.1,2.8,169,10000000,2.7
13,201906150950,1.4,3.9,221,10000000,3.8
13,201906151000,2.6,4.3,204,10000000,4.2
13,201906151010,3.2,6.1,189,10000000,5.7
13,201906151020,4.2,6.3,185,10000000,6.2
13,201906151030,3.6,5.9,181,10000000,5.7
13,201906151040,4.5,7.4,167,10000000,6.9
13,201906151050,4.1,6.5,193,10000000,6.1
13,201906151100,3.9,7.7,224,10000000,7.3
13,201906151110,3.9,7.1,205,10000000,6.6
13,201906151120,4.1,7.0,209,10000000,6.7
13,201906151130,4.2,7.8,208,10000000,7.5
13,201906151140,4.0,7.3,208,10000000,7.0
13,201906151150,4.4,7.5,189,10000000,6.9
13,201906151200,3.9,6.0,191,10000000,5.8
13,201906151210,3.4,6.7,199,10000000,6.5
13,201906151220,3.1,6.3,210,10000000,6.1
