stn,time,fkl010z0,fkl010z1,dkl010z0,dkl010z1,fkl010z3
38,2019-06-15 16:10:00,17.9,34.1,247,10000000,32.4
268,2019-06-15 15:40:00,18.9,30.8,239,10000000,29.4
38,2019-06-15 16:00:00,19.8,30.2,247,10000000,29.5
38,2019-06-15 15:50:00,17.1,30.0,272,10000000,29.4
38,2019-06-15 16:20:00,16.0,29.3,249,10000000,28.7
205,2019-06-15 15:30:00,12.1,28.6,263,10000000,28.3
850,2019-06-15 15:40:00,12.0,27.3,256,10000000,25.3
31,2019-06-15 15:30:00,21.1,27.2,270,10000000,26.4
205,2019-06-15 15:40:00,12.7,26.8,270,10000000,25.4
268,2019-06-15 15:30:00,10.8,26.4,282,10000000,25.7
37,2019-06-15 15:40:00,11.1,26.1,269,10000000,25.1
31,2019-06-15 15:20:00,16.8,25.9,281,10000000,25.0
31,2019-06-15 15:40:00,18.7,25.6,273,10000000,24.5
748,2019-06-15 16:00:00,11.1,24.5,243,10000000,22.6
38,2019-06-15 16:40:00,14.1,23.8,248,10000000,23.1
521,2019-06-15 15:50:00,8.6,23.6,202,10000000,22.8
32,2019-06-15 16:10:00,10.2,23.4,219,10000000,22.1
331,2019-06-15 15:50:00,15.0,23.1,246,10000000,22.5
37,2019-06-15 15:30:00,6.3,23.1,312,10000000,22.5
38,2019-06-15 16:30:00,14.7,22.8,251,10000000,22.3
268,2019-06-15 15:50:00,15.6,22.7,233,10000000,21.6
38,2019-06-15 00:10:00,14.4,22.7,247,10000000,21.3
76,2019-06-15 15:30:00,13.7,22.2,252,10000000,21.5
38,2019-06-15 00:00:00,15.4,22.2,249,10000000,22.0
58,2019-06-15 15:00:00,15.2,22.0,233,10000000,21.5
748,2019-06-15 15:50:00,5.0,21.9,313,10000000,19.0
38,2019-06-15 00:40:00,15.5,21.8,246,10000000,20.4
762,2019-06-15 15:40:00,11.2,21.7,208,10000000,20.9
762,2019-06-15 16:00:00,10.3,21.6,216,10000000,20.3
38,2019-06-15 00:50:00,15.4,21.6,241,10000000,19.7
31,2019-06-15 15:50:00,16.2,21.4,276,10000000,20.5
32,2019-06-15 16:00:00,7.8,21.3,234,10000000,19.4
38,2019-06-15 17:00:00,12.6,21.0,250,10000000,19.6
58,2019-06-15 14:50:00,13.5,20.7,198,10000000,19.9
31,2019-06-15 00:20:00,15.4,20.5,279,10000000,19.8
849,2019-06-15 00:40:00,10.1,20.4,290,10000000,18.9
58,2019-06-15 15:10:00,9.7,19.8,263,10000000,19.1
38,2019-06-15 01:00:00,15.0,19.7,241,10000000,18.6
61,2019-06-15 15:30:00,8.0,19.6,252,10000000,16.1
38,2019-06-15 00:20:00,15.3,19.6,244,10000000,19.1
331,2019-06-15 15:20:00,11.4,19.3,200,10000000,19.0
37,2019-06-15 16:00:00,5.5,19.3,335,10000000,18.6
31,2019-06-15 00:10:00,15.0,19.2,277,10000000,18.5
38,2019-06-15 00:30:00,15.3,19.1,240,10000000,18.8
205,2019-06-15 16:00:00,10.6,19.0,263,10000000,18.3
205,2019-06-15 15:50:00,11.2,19.0,266,10000000,17.6
762,2019-06-15 16:10:00,11.3,19.0,225,10000000,18.0
38,2019-06-15 02:40:00,12.6,19.0,245,10000000,17.5
31,2019-06-15 00:00:00,12.8,18.8,279,10000000,17.4
849,2019-06-15 00:30:00,9.3,18.6,289,10000000,17.2
38,2019-06-15 17:10:00,11.0,18.4,252,10000000,18.1
38,2019-06-15 16:50:00,12.9,18.4,245,10000000,17.9
762,2019-06-15 16:20:00,11.4,18.1,231,10000000,17.3
38,2019-06-15 17:30:00,8.5,18.1,253,10000000,16.3
38,2019-06-15 01:10:00,12.9,18.1,242,10000000,16.9
76,2019-06-15 15:40:00,10.3,18.1,266,10000000,17.8
31,2019-06-15 00:30:00,12.8,18.0,287,10000000,16.6
38,2019-06-15 02:50:00,13.6,17.8,242,10000000,17.4
13,2019-06-15 16:00:00,7.8,17.7,269,10000000,16.4
331,2019-06-15 16:00:00,11.0,17.7,261,10000000,17.1
762,2019-06-15 16:30:00,10.2,17.7,247,10000000,16.3
849,2019-06-15 00:50:00,9.9,17.6,290,10000000,16.8
38,2019-06-15 02:30:00,10.9,17.4,238,10000000,16.8
38,2019-06-15 03:00:00,13.7,17.1,242,10000000,16.6
76,2019-06-15 00:30:00,7.4,17.1,273,10000000,17.1
331,2019-06-15 15:40:00,7.6,17.0,240,10000000,16.0
38,2019-06-15 01:20:00,12.9,17.0,239,10000000,16.5
308,2019-06-15 00:40:00,8.2,16.8,260,10000000,16.0
849,2019-06-15 16:00:00,10.1,16.8,237,10000000,16.0
