    54	Disentis                1197 m a.s.l.	708190/ 173794
   338	Vals                    1242 m a.s.l.	734016/ 165552
   630	Ilanz                    698 m a.s.l.	735685/ 181966
   847	Crap Masegn             2468 m a.s.l.	732824/ 189378
   405	Andeer                   987 m a.s.l.	752692/ 164038
   409	Bivio                   1856 m a.s.l.	771282/ 148120
   862	Piz Martegnas           2668 m a.s.l.	760261/ 160570
    73	Weissfluhjoch           2691 m a.s.l.	780615/ 189634
    26	Davos                   1594 m a.s.l.	783518/ 187459
   468	Berg�n / Latsch         1408 m a.s.l.	777273/ 166619
     1	Arosa                   1878 m a.s.l.	771031/ 184830
   861	Valbella                1568 m a.s.l.	761635/ 180386
    27	Chur                     556 m a.s.l.	759489/ 193182
  1024	Schiers                  626 m a.s.l.	769617/ 205125
     2	Bad Ragaz                496 m a.s.l.	756910/ 209351
    36	Vaduz                    457 m a.s.l.	757723/ 221699
  1435	Oberriet / Kriessern     409 m a.s.l.	764171/ 249582
   359	Altenrhein               398 m a.s.l.	760387/ 261382
    56	St. Gallen               776 m a.s.l.	747865/ 254588
    79	G�ttingen                440 m a.s.l.	738422/ 273963
     3	Salen-Reutenen           719 m a.s.l.	719099/ 279047
   855	Steckborn                397 m a.s.l.	715871/ 280916
    70	Schaffhausen             438 m a.s.l.	688703/ 282804
     4	Hallau                   419 m a.s.l.	677456/ 283472
    89	Leibstadt                341 m a.s.l.	656373/ 272122
   301	M�hlin                   343 m a.s.l.	633053/ 269147
    66	R�nenberg                611 m a.s.l.	633252/ 253846
     6	Del�mont                 439 m a.s.l.	593270/ 244543
    75	Basel / Binningen        316 m a.s.l.	610908/ 265611
   181	St. Chrischona           493 m a.s.l.	618695/ 269036
     7	Ebnat-Kappel             623 m a.s.l.	726347/ 237177
    35	S�ntis                  2501 m a.s.l.	744187/ 234921
   666	Bischofszell / Sitterdor 507 m a.s.l.	737714/ 263613
    82	Aadorf / T�nikon         539 m a.s.l.	710517/ 259824
    94	H�rnli                  1133 m a.s.l.	713517/ 247757
   668	Pf�ffikon, ZH            537 m a.s.l.	699401/ 248165
    83	Z�rich / Affoltern       444 m a.s.l.	681432/ 253548
    59	Z�rich / Kloten          426 m a.s.l.	682710/ 259339
   860	Quinten                  419 m a.s.l.	734848/ 221278
     8	Elm                      958 m a.s.l.	732266/ 198424
    57	Glarus                   517 m a.s.l.	723756/ 210568
   454	Schmerikon               408 m a.s.l.	713725/ 231533
   695	Lachen / Galgenen        468 m a.s.l.	707637/ 226334
    81	W�denswil                485 m a.s.l.	693847/ 230744
    71	Z�rich / Fluntern        556 m a.s.l.	685117/ 248066
     9	Einsiedeln               911 m a.s.l.	699983/ 221068
   392	Uetliberg                854 m a.s.l.	679454/ 245034
    60	Götsch, Andermatt       2286 m a.s.l.	690050/ 167475
    10	Andermatt               1435 m a.s.l.	687444/ 165044
   396	Göschenen                950 m a.s.l.	688477/ 171926
    44	Altdorf                  438 m a.s.l.	690180/ 193564
   152	Sattel, SZ               790 m a.s.l.	690999/ 215145
   952	Gersau                   521 m a.s.l.	682510/ 205572
   273	Titlis                  3045 m a.s.l.	675413/ 180411
    69	Engelberg               1036 m a.s.l.	674161/ 186070
   915	Giswil                   471 m a.s.l.	657323/ 188976
    68	Luzern                   454 m a.s.l.	665544/ 209850
    43	Pilatus                 2105 m a.s.l.	661904/ 203410
   711	Flèhli, LU               940 m a.s.l.	644332/ 193311
   859	Schèpfheim               744 m a.s.l.	643684/ 199711
   464	Oberägeri                724 m a.s.l.	688728/ 220956
   162	Cham                     442 m a.s.l.	677758/ 226878
    91	Grimsel Hospiz          1980 m a.s.l.	668583/ 158215
    11	Meiringen                589 m a.s.l.	655844/ 175930
   857	Brienz                   567 m a.s.l.	647552/ 176803
    33	Jungfraujoch            3571 m a.s.l.	641939/ 155288
    53	Interlaken               577 m a.s.l.	633023/ 169092
    63	Adelboden               1321 m a.s.l.	609372/ 148939
   294	Frutigen                 756 m a.s.l.	616774/ 160884
   731	Boltigen                 820 m a.s.l.	595831/ 163587
